table,project,link,sponsors,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Parkour,http://dubhacks17f.devpost.com/submissions/79935-parkour,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best Transportation-Related Hack, MLH - Best Domain Name from Domain.com",,,,,,,,,,,,,,,,,,,,,,,,,,,
67,SaveTrek,http://dubhacks17f.devpost.com/submissions/79936-savetrek,"MLH - Best Domain Name from Domain.com, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
68,slangslate,http://dubhacks17f.devpost.com/submissions/79940-slangslate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,FoodViz,http://dubhacks17f.devpost.com/submissions/79943-foodviz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,dubhacks-personal-bias-blocker,http://dubhacks17f.devpost.com/submissions/79944-dubhacks-personal-bias-blocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,safe-ty.net,http://dubhacks17f.devpost.com/submissions/79946-safe-ty-net,"Best Transportation-Related Hack, MLH - Best Domain Name from Domain.com, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Feed,http://dubhacks17f.devpost.com/submissions/79956-feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Alert,http://dubhacks17f.devpost.com/submissions/79957-alert,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best Transportation-Related Hack, Best use of storytelling (+ Marvel API), Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
74,macrohard-focus,http://dubhacks17f.devpost.com/submissions/79958-macrohard-focus,"MLH - Best Domain Name from Domain.com, MLH - Amazon Web Services - Best Use of AWS, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fabor,http://dubhacks17f.devpost.com/submissions/79961-fabor,"MLH - Best Domain Name from Domain.com, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Stock Marvel,http://dubhacks17f.devpost.com/submissions/79963-stock-marvel,"Best use of storytelling (+ Marvel API), MLH - Amazon Web Services - Best Use of AWS",,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SeeSort,http://dubhacks17f.devpost.com/submissions/79964-seesort,"Best use of storytelling (+ Marvel API), Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
78,TogetherWe,http://dubhacks17f.devpost.com/submissions/79965-togetherwe,"MLH - Best Domain Name from Domain.com, Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Safe Step,http://dubhacks17f.devpost.com/submissions/79966-safe-step,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,UnREST,http://dubhacks17f.devpost.com/submissions/79972-unrest,MLH - Best Domain Name from Domain.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,SeattleFoodCycle,http://dubhacks17f.devpost.com/submissions/79974-seattlefoodcycle,"Best Transportation-Related Hack, MLH - Best Domain Name from Domain.com, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
